,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
1977,15321,63,1.0,59.18363185293994,55.38315887944349,1.0,19,17.0,2019,0.23861713,B,B,26,3889,6,705.0,3,6,B
4599,10859,87,1.0,41.357161586881936,18.878705236351934,8.0,8,17.0,1986,0.100455735,B,B,43,7227,0,,1,6,A
1362,13921,123,1.0,35.21087661610032,18.64767411406101,10.0,6,16.0,2003,0.0,B,B,47,11319,0,1145.0,3,5,B
3245,10397,27,3.0,65.36041675560371,65.62741601653288,1.0,6,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
2185,11165,45,1.0,39.52991656529448,41.89282296721756,1.0,20,25.0,1977,0.195781053,B,B,23,5212,6,,3,2,B
4793,8152,52,1.0,40.18537392196434,41.09747879047829,0.0,8,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
3932,1297,42,1.0,43.446218042593706,18.28785445311575,10.0,5,24.0,2009,0.158249043,B,B,21,5731,0,,1,0,B
139,11260,46,2.0,46.81377639633951,31.883008445190377,5.0,4,5.0,1968,0.0,B,B,47,11319,0,1145.0,3,5,B
4467,13478,128,1.0,42.44469606768833,25.285681815524725,8.0,4,12.0,1989,0.041116354,B,B,53,14892,4,,1,4,B
3625,9940,12,2.0,47.14104160913119,30.925938891703645,5.0,6,9.0,1982,0.090799103,B,B,74,19083,2,,5,15,B
4378,11551,103,2.0,38.44792234965314,23.199718247872767,7.0,5,9.0,1967,0.0006991189999999,B,B,14,3369,24,4129.0,0,3,B
4791,3598,26,2.0,76.29371390647067,41.08269690138201,14.0,20,30.0,2012,0.0,B,B,36,6714,2,2672.0,0,2,B
2126,6098,55,2.0,61.68152219694233,33.22695635079559,10.0,17,17.0,1992,0.041365446,B,B,31,5569,0,,1,4,B
3230,5957,99,1.0,38.65885932064208,15.68550783079715,9.0,3,17.0,2002,0.012338886,B,B,35,5776,1,2078.0,2,4,B
405,15325,9,2.0,62.67879962748225,60.70191287181632,1.0,4,1.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
2000,6762,62,1.0,34.936967577185484,31.77600163166204,9.0,23,22.0,2015,0.072157581,B,B,2,629,1,,0,0,A
1441,13229,88,1.0,37.6175118205191,19.766226343775102,6.0,4,9.0,1973,0.127375905,B,B,43,8429,3,,3,9,B
2271,12794,99,3.0,62.7407434463837,47.52697767762346,6.0,10,9.0,1972,0.012338886,B,B,35,5776,1,2078.0,2,4,B
404,7840,46,3.0,77.54370827287322,52.90704362724434,9.0,4,4.0,1962,0.188783766,B,B,31,6137,4,,0,1,B
4557,11324,21,2.0,48.69847973975818,33.21282420864376,5.0,5,5.0,1964,0.034331497,B,B,25,5487,3,,0,4,B
117,15536,124,3.0,66.6230786819703,43.41045910470692,9.0,4,12.0,1974,0.16909109,B,B,19,3856,10,,2,5,B
245,11567,0,3.0,108.85132541371472,53.42705095786825,13.0,20,19.0,2012,0.006076152,B,B,30,5285,0,645.0,6,6,B
4856,10281,1,2.0,63.00832630836655,,1.0,17,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
4961,13365,35,3.0,82.14536004142596,44.11611804165448,10.0,21,22.0,1998,0.089039719,B,B,33,7976,5,,0,11,B
4878,417,77,1.0,32.384126920287244,21.55543516962668,6.0,9,9.0,1976,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
3030,15692,27,2.0,63.83154155984054,62.857676050096046,1.0,11,17.0,1977,0.051815435,B,B,5,1227,0,,0,0,B
4789,7240,52,2.0,62.221255681985006,64.93554187172954,10.0,11,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
2347,6760,38,1.0,46.12544858899494,,1.0,4,17.0,1977,0.060753049,B,B,15,2787,2,520.0,0,7,B
3291,12954,1,1.0,42.2470826240416,43.174824806167365,1.0,11,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
3607,11440,13,1.0,32.0502126496853,21.05760207537216,6.0,5,9.0,1982,0.090799103,B,B,74,19083,2,,5,15,B
4701,14180,60,1.0,37.357989544334266,17.785678488988694,7.0,7,7.0,2000,0.007658515,B,B,35,7077,56,2301.0,3,19,B
2560,5214,27,1.0,37.55519665650439,,1.0,5,1.0,1977,0.211401214,B,B,9,1892,0,,0,1,B
3011,13981,113,3.0,61.0954336727151,47.28611989716439,6.0,7,9.0,1971,0.050755569,B,B,24,5469,1,145.0,0,1,B
4573,1024,6,2.0,63.41485820868128,35.44954547297412,12.0,7,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
2354,9205,120,2.0,85.91182654959276,4.188395456748467,1.0,5,1.0,2016,0.341071945,B,B,27,5664,48,2300.0,3,11,B
1927,6599,159,3.0,68.95200823319202,42.74801198057104,7.0,3,8.0,1934,0.246623602,B,B,14,2940,45,,3,6,B
2962,13010,47,1.0,36.99710421494543,20.39821726072008,8.0,16,16.0,1980,0.101872465,B,B,23,4583,3,,3,3,B
3319,15818,52,2.0,66.91844856273116,,1.0,16,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
4110,1686,62,3.0,137.65321074717082,136.92109030501337,0.0,4,3.0,1977,0.072157581,B,B,2,629,1,,0,0,A
2149,8461,163,2.0,48.04441203175735,31.767807561062853,5.0,2,5.0,1961,0.007658515,B,B,35,7077,56,2301.0,3,19,B
4256,14853,1,2.0,64.28005771551999,,1.0,18,20.0,1977,0.007122317,B,B,1,264,0,,0,1,B
4355,2292,58,1.0,42.36303354212637,23.00195389527373,9.0,8,14.0,1976,0.050755569,B,B,24,5469,1,145.0,0,1,B
2633,11903,80,1.0,34.9197230700468,20.70327758695679,6.0,5,9.0,1976,0.0,B,B,39,8647,0,810.0,0,5,B
4351,2662,30,1.0,42.22711465585297,2.0321094370487605,1.0,15,17.0,2015,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
627,14114,138,2.0,49.20656626332695,32.83257397662646,6.0,5,9.0,1976,0.1363303,B,B,30,6141,10,262.0,3,6,B
1747,6321,2,2.0,55.32762909591875,34.627817406454355,8.0,11,14.0,1996,0.309479124,B,B,35,7715,4,990.0,0,6,B
2550,2580,22,2.0,52.61955926718892,,1.0,4,17.0,1977,0.118537385,B,B,30,6207,1,1183.0,1,0,B
831,12048,71,1.0,41.480768567716936,21.98654136453025,8.0,8,14.0,1998,0.033493708,B,B,66,10573,1,1322.0,3,8,B
4609,16357,58,1.0,49.2059781837295,,0.0,4,0.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
2263,9132,153,3.0,73.04063649601355,45.6698316231279,10.0,16,17.0,1992,0.033493708,B,B,66,10573,1,1322.0,3,8,B
1993,11487,88,4.0,64.27046095358416,49.47729199495706,5.0,3,9.0,1974,0.127375905,B,B,43,8429,3,,3,9,B
2574,16085,44,1.0,38.862075559132094,23.45930942486473,6.0,9,9.0,1981,0.036122292,B,B,24,4378,0,1036.0,1,1,B
4968,6330,53,3.0,81.68547176028791,77.6083864663902,1.0,3,9.0,2019,0.049637257,B,B,34,7759,0,229.0,1,3,B
4443,3160,9,1.0,39.55929223967691,23.62200325774416,8.0,13,14.0,1991,0.161531741,B,B,25,5648,1,30.0,2,4,B
824,9761,27,1.0,58.30317937765962,57.48379234409224,10.0,9,17.0,2018,0.011654127,B,B,4,915,0,,0,0,B
1237,3878,139,2.0,43.73242549138507,29.019878833170303,5.0,7,5.0,1962,0.122090347,B,B,29,6566,7,1894.0,4,0,B
2303,13272,22,3.0,77.21435258319225,,1.0,14,17.0,1977,0.118537385,B,B,30,6207,1,1183.0,1,0,B
2621,5032,30,1.0,50.738045404446055,,0.0,5,0.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
4225,8544,7,3.0,118.79891875895424,68.77852358359644,16.0,6,17.0,2013,0.035145267,B,B,42,9292,3,2620.0,0,3,B
3901,4603,57,1.0,46.131666199606045,17.848320600578855,10.0,15,22.0,2003,0.090799103,B,B,74,19083,2,,5,15,B
1803,2216,182,2.0,46.04087611910128,32.25563079035316,5.0,2,12.0,1968,0.015016892,B,B,17,3079,59,2890.0,0,8,B
2787,2248,176,2.0,55.43949158213666,33.913863104540404,8.0,5,16.0,1986,0.08761909,B,B,8,1497,5,,1,0,B
1333,8872,1,1.0,39.627646628973686,,1.0,12,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
36,15937,9,4.0,92.1582517146398,54.1686158873239,12.0,4,14.0,1997,0.161531741,B,B,25,5648,1,30.0,2,4,B
3844,5286,3,2.0,48.35169552142373,31.070006784544297,6.0,6,12.0,1982,0.050900058,B,B,43,10621,1,30.0,2,3,B
4985,2812,120,2.0,81.48850118088006,,1.0,13,17.0,1977,0.341071945,B,B,27,5664,48,2300.0,3,11,B
62,6291,78,1.0,40.539829225184405,22.9477122496941,6.0,7,17.0,2002,0.092290642,B,B,21,4346,2,165.0,1,2,B
4805,2291,54,2.0,74.26563460694476,78.77043649351026,1.0,9,9.0,1977,0.006076152,B,B,30,5285,0,645.0,6,6,B
508,7947,138,1.0,33.63414580341874,21.35605060781923,4.0,8,8.0,1964,0.313924552,B,B,22,4625,11,3855.0,2,10,B
527,1946,55,3.0,76.99346766547983,42.50614640010587,10.0,6,14.0,1998,0.041365446,B,B,31,5569,0,,1,4,B
2279,14926,23,2.0,64.9370542179923,,1.0,8,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
1588,7959,23,1.0,51.75432639162232,45.34475116479536,1.0,9,9.0,2015,0.014072961,B,B,2,475,0,,0,0,B
2930,1593,93,3.0,135.75344600308597,,0.0,1,2.0,1977,0.004949358,B,B,0,186,0,,0,0,B
1670,13525,46,1.0,32.537038311989264,11.070513256260249,5.0,3,9.0,1970,0.0,B,B,47,11319,0,1145.0,3,5,B
2495,14678,61,1.0,41.10816008984509,23.445581023685644,9.0,6,16.0,1979,0.300322518,B,B,52,10311,6,,1,9,B
2977,13967,1,2.0,53.12751757171616,54.254344437528935,1.0,8,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
585,16379,168,2.0,55.02318114508318,30.94001018913409,7.0,2,5.0,1926,0.341071945,B,B,27,5664,48,2300.0,3,11,B
1994,14836,146,2.0,62.82345221833378,37.55619026967637,8.0,5,7.0,1941,0.327018035,B,B,12,2270,23,2500.0,1,0,B
1046,4834,0,2.0,45.82355644261703,27.46257400582156,8.0,5,5.0,1938,0.319809354,B,B,25,4756,16,2857.0,5,8,B
2639,10440,62,1.0,29.10709140728332,16.434995351995738,5.0,7,9.0,1974,0.002211665,B,B,39,7614,3,,1,5,A
114,927,13,1.0,39.31735061325933,22.415301246505017,9.0,8,16.0,1986,0.133215333,B,B,49,11395,3,1406.0,3,4,A
70,10896,21,2.0,44.835016139438665,30.72815667426836,5.0,3,5.0,1963,0.034331497,B,B,25,5487,3,,0,4,B
2099,9829,141,1.0,36.55824071473082,21.950443028322443,5.0,10,9.0,1964,0.0006991189999999,B,B,14,3369,24,4129.0,0,3,B
3303,8946,8,1.0,42.62844588322668,19.76114666299162,8.0,16,17.0,2002,0.43788524,B,B,23,5735,3,1084.0,0,5,B
4672,792,105,1.0,34.38044975307562,21.18943816194501,5.0,3,5.0,1963,0.040242764,B,B,25,3478,11,2729.0,3,1,B
4653,14632,39,3.0,62.81371228428085,44.38302796168093,6.0,9,9.0,1972,0.428825818,B,B,25,5011,8,730.0,0,2,B
1852,79,27,2.0,67.86461731226782,67.8655550767585,13.0,4,12.0,2017,0.072157581,B,B,2,629,1,,0,0,A
3944,14935,30,1.0,49.38730567178187,,1.0,14,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
2878,1380,53,1.0,38.00762421672708,19.42118259536973,9.0,10,12.0,1971,0.049637257,B,B,34,7759,0,229.0,1,3,B
3173,5265,49,3.0,56.60793912183414,35.71362801420688,6.0,5,5.0,1963,0.020741326,B,B,24,5613,5,1340.0,2,5,B
1018,15526,45,2.0,63.33638449428962,,1.0,9,17.0,1977,0.195781053,B,B,23,5212,6,,3,2,B
724,1421,164,1.0,34.961943018409784,21.209560286798943,5.0,2,5.0,1965,0.486245621,B,B,13,2514,19,,0,6,B
4261,15618,52,1.0,40.495017241199406,,0.0,8,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
22,15709,48,3.0,86.48993470329461,86.16502319357315,1.0,24,1.0,2015,0.041124634,B,B,46,9515,5,,1,10,B
3694,9111,196,3.0,75.5670647876177,50.68054822953079,9.0,5,4.0,1927,0.0,B,B,30,7538,87,4702.0,5,5,B
300,8319,6,2.0,63.86631065939285,,12.0,11,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
4423,594,57,1.0,36.77550439101982,23.599799902819463,6.0,1,5.0,1961,0.133215333,B,B,49,11395,3,1406.0,3,4,A
581,2413,12,2.0,58.42616851253392,34.36664045343042,9.0,7,17.0,1993,0.090799103,B,B,74,19083,2,,5,15,B
3829,7424,47,1.0,32.025321273238475,19.0344068629952,4.0,9,9.0,1967,0.458174486,B,A,26,4439,1,1130.0,1,5,B
3443,5845,111,1.0,33.984271075907024,22.95200251511988,5.0,4,5.0,1964,0.0,B,B,36,6714,2,2672.0,0,2,B
924,3776,47,3.0,64.76659486144558,46.40417479125015,6.0,11,12.0,1978,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
3355,15247,148,2.0,74.0808834743752,,1.0,3,1.0,1977,0.313924552,B,B,22,4625,11,3855.0,2,10,B
1915,5608,52,2.0,64.26868872512564,65.3086427714118,1.0,8,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
3654,3956,37,3.0,81.1292398886751,44.25973250812691,10.0,15,22.0,2005,0.178916796,B,B,18,3594,4,192.0,1,5,B
406,8700,23,1.0,77.60832784588018,37.35390072103868,15.0,3,3.0,2011,0.014072961,B,B,2,475,0,,0,0,B
1836,8088,1,3.0,79.80800409895669,,1.0,12,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
1552,7053,19,3.0,92.9641502043882,53.71383686774156,11.0,14,14.0,2004,0.309479124,B,B,35,7715,4,990.0,0,6,B
3,3848,23,3.0,49.64602982741851,33.89382537068284,6.0,2,2.0,1965,0.014072961,B,B,2,475,0,,0,0,B
30,9245,1,2.0,63.115040972639896,,0.0,4,24.0,1977,0.007122317,B,B,1,264,0,,0,1,B
1170,16579,3,2.0,53.62124783920879,31.480195207196918,8.0,6,17.0,1985,0.050900058,B,B,43,10621,1,30.0,2,3,B
1212,1476,12,1.0,41.83742401125364,21.046614333888645,8.0,14,16.0,1981,0.090799103,B,B,74,19083,2,,5,15,B
1030,5863,23,1.0,41.84689698611122,41.48014409045096,1.0,9,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
3009,12847,12,1.0,41.468786096390005,20.77192063030818,7.0,12,17.0,1986,0.090799103,B,B,74,19083,2,,5,15,B
3520,10692,30,2.0,66.00415766822519,,1.0,3,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
1858,4519,27,1.0,45.07504768609783,44.26154470345653,1.0,11,17.0,2016,0.072157581,B,B,2,629,1,,0,0,A
1516,10881,53,2.0,36.26035600991948,23.47405994549982,6.0,9,9.0,1966,0.313924552,B,B,22,4625,11,3855.0,2,10,B
1414,5944,32,1.0,34.50457486996727,20.67249878068262,7.0,6,9.0,1968,0.135649789,B,B,46,7960,6,350.0,3,11,B
1281,10720,1,1.0,49.27244798540568,,1.0,20,24.0,1977,0.007122317,B,B,1,264,0,,0,1,B
431,5688,45,2.0,73.10887638981626,,1.0,8,17.0,2014,0.195781053,B,B,23,5212,6,,3,2,B
1700,8250,58,1.0,50.26207214305225,1.916946711363057,1.0,10,9.0,2016,0.43788524,B,B,23,5735,3,1084.0,0,5,B
4434,13974,12,3.0,66.64139378823815,48.280789695886405,6.0,9,9.0,1981,0.090799103,B,B,74,19083,2,,5,15,B
2782,10078,11,2.0,59.71256890196066,34.3358959038748,9.0,16,16.0,1982,0.0001696759999999,B,B,36,5992,0,,1,1,B
2849,9224,27,2.0,54.23672994035762,,1.0,13,17.0,1977,0.011654127,B,B,4,915,0,,0,0,B
1457,16455,5,2.0,55.568945373631934,32.2786639507652,8.0,8,14.0,1970,0.150817539,B,B,16,3433,4,2643.0,4,5,B
3988,5298,27,2.0,62.831444780514325,,0.0,6,24.0,1977,0.072157581,B,B,2,629,1,,0,0,A
4476,7762,61,2.0,50.12367637341,31.36443690912683,5.0,2,9.0,1976,0.300322518,B,B,52,10311,6,,1,9,B
1665,2850,23,3.0,78.37488475899826,,1.0,25,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
3265,13140,20,2.0,55.82361543646923,34.8230559652618,9.0,4,12.0,1984,0.019508796,B,B,37,7687,11,176.0,5,5,B
3206,8809,1,2.0,63.07667285772325,,1.0,13,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
1480,7843,1,1.0,49.033078557418655,50.81788533515394,9.0,11,24.0,1977,0.007122317,B,B,1,264,0,,0,1,B
2318,13539,130,3.0,81.65701759753394,53.62600835809171,10.0,6,8.0,1958,0.341071945,B,B,27,5664,48,2300.0,3,11,B
2426,1233,21,1.0,47.24328058323152,24.035784870435005,8.0,5,14.0,1992,0.194489265,B,B,47,8004,3,125.0,3,5,B
2707,15543,3,1.0,33.0855116137428,22.161536466656138,6.0,4,9.0,1976,0.265088676,B,B,37,5288,0,1937.0,3,2,B
2656,7736,46,2.0,47.61137877649061,30.673704527953443,6.0,4,12.0,1981,0.0,B,B,47,11319,0,1145.0,3,5,B
870,16315,52,3.0,80.57458408613198,48.891056287845046,10.0,19,17.0,1988,0.371148999,B,B,34,7065,1,750.0,2,5,B
4829,16789,128,2.0,56.85609336931938,30.515712245388013,8.0,9,14.0,1998,0.041116354,B,B,53,14892,4,,1,4,B
1081,12038,14,2.0,60.60078783431382,38.60861515824338,8.0,3,5.0,1958,0.042031587,B,B,37,6856,84,1940.0,2,5,B
1370,15554,125,1.0,36.86914550527779,22.701880152165103,10.0,6,12.0,1970,0.040242764,B,B,25,3478,11,2729.0,3,1,B
2267,15974,96,1.0,42.56313368646379,19.530069980686356,8.0,6,17.0,2008,0.041116354,B,B,53,14892,4,,1,4,B
629,15383,61,2.0,44.30863623532426,28.23733450104515,5.0,7,3.0,1961,0.298204575,B,B,16,4048,3,,1,3,B
3310,16132,6,1.0,51.28350071444804,3.7400630937482617,1.0,21,25.0,2016,0.243204519,B,B,5,1564,0,540.0,0,0,B
4867,9602,32,2.0,61.93505830937663,36.34872803024408,10.0,17,22.0,2010,0.135649789,B,B,46,7960,6,350.0,3,11,B
112,8496,128,1.0,38.3653201442884,15.960955260497808,9.0,13,17.0,1995,0.0,B,B,27,4798,0,30.0,2,8,B
1043,13209,26,2.0,45.80217285017226,30.49987092903475,5.0,3,5.0,1968,0.0,B,B,36,6714,2,2672.0,0,2,B
169,12034,53,2.0,58.56362485209706,43.75223474518224,10.0,16,24.0,2019,0.049637257,B,B,34,7759,0,229.0,1,3,B
4839,8689,45,2.0,63.57236157097014,61.06865608163906,1.0,13,12.0,2017,0.195781053,B,B,23,5212,6,,3,2,B
1960,6797,48,1.0,48.68812559492853,3.6115678472429456,1.0,21,21.0,2015,0.041124634,B,B,46,9515,5,,1,10,B
3369,12287,22,3.0,83.62629793628456,,1.0,17,17.0,1977,0.118537385,B,B,30,6207,1,1183.0,1,0,B
3560,2882,170,2.0,49.54985495264384,30.55279559526602,7.0,9,8.0,1961,0.21843974,B,B,21,4472,6,1450.0,4,7,A
4469,6218,1,1.0,38.65871320511654,41.83287671293076,1.0,5,0.0,1977,0.007122317,B,B,1,264,0,,0,1,B
4900,7581,19,2.0,59.58527126798474,33.24302636547461,11.0,8,17.0,2005,0.309479124,B,B,35,7715,4,990.0,0,6,B
528,16235,55,2.0,56.567460574005366,36.72320689161747,9.0,16,17.0,1998,0.041365446,B,B,31,5569,0,,1,4,B
4631,8910,1,2.0,58.39011376409956,34.53736946035864,9.0,13,17.0,1993,0.025609157,B,B,33,5261,0,240.0,3,1,B
2797,12829,6,3.0,79.92780634059116,81.39008251291685,1.0,4,17.0,2015,0.243204519,B,B,5,1564,0,540.0,0,0,B
321,5035,62,1.0,50.25844244515483,22.55936501481891,11.0,8,17.0,2011,0.072157581,B,B,2,629,1,,0,0,A
2925,2770,6,1.0,47.5880005756431,,1.0,9,25.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
1509,3458,101,1.0,19.04389412684894,13.941145028428163,3.0,4,5.0,1970,0.225824954,A,B,41,6558,7,1548.0,3,2,B
1282,4253,27,3.0,80.63090757217947,48.586375211697685,10.0,3,12.0,2000,0.041116354,B,B,53,14892,4,,1,4,B
2192,5094,67,2.0,58.616678285179006,44.267097254102566,5.0,7,9.0,1975,0.0077202819999999,B,B,38,4788,2,,0,4,B
2654,11820,93,2.0,58.1321180567761,32.579407094224365,11.0,12,16.0,1984,0.521867054,B,B,25,6149,0,,0,0,B
2864,15833,4,3.0,71.60730439307244,52.38414906994439,7.0,5,6.0,1918,0.327018035,B,B,12,2270,23,2500.0,1,0,B
4911,1829,84,1.0,33.543221610532534,19.42120674244061,5.0,3,5.0,1963,0.149666373,B,B,22,4789,2,4087.0,4,1,B
1534,4392,1,1.0,50.12441454430577,,1.0,18,24.0,1977,0.007122317,B,B,1,264,0,,0,1,B
3379,5037,57,1.0,43.65228799732215,23.673360537108827,8.0,2,14.0,2003,0.133215333,B,B,49,11395,3,1406.0,3,4,A
3632,15056,90,2.0,55.5000286759737,33.230080630095884,8.0,5,17.0,1989,0.246031548,B,A,22,3151,4,2715.0,3,3,B
4004,3120,94,3.0,86.25720119466754,84.85606419991062,10.0,12,12.0,1977,0.282797669,B,B,33,8667,2,,0,6,B
1654,1859,6,2.0,64.35032819675892,61.03381767971413,10.0,8,17.0,2016,0.243204519,B,B,5,1564,0,540.0,0,0,B
3336,1186,1,2.0,64.26638747004529,,1.0,3,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
2269,2893,140,2.0,42.289102329267074,27.265355432115825,6.0,7,5.0,1960,0.0,B,B,33,7425,1,,2,5,B
2939,753,39,1.0,36.84836331125939,23.560192007306465,9.0,5,12.0,1970,0.428825818,B,B,25,5011,8,730.0,0,2,B
783,12114,75,2.0,48.97394533059013,45.54140849477273,6.0,4,9.0,1967,0.122090347,B,B,29,6566,7,1894.0,4,0,B
4303,621,136,3.0,65.22173261261237,43.28151655677413,7.0,12,12.0,1974,0.019508796,B,B,37,7687,11,176.0,5,5,B
228,1872,30,2.0,52.44905662805961,52.79834949331681,1.0,17,17.0,2016,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
3906,13791,9,2.0,58.2142879088597,32.62616318965069,12.0,15,14.0,1999,0.31019913,B,B,11,2748,1,,0,0,B
2325,11513,1,1.0,37.48405677665481,40.59303648295684,0.0,4,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
1485,9115,27,1.0,31.416478657308826,28.46446705817943,7.0,6,19.0,2014,0.211401214,B,B,9,1892,0,,0,1,B
799,5405,21,1.0,43.103813869248846,21.23475609332882,8.0,3,17.0,2006,0.194489265,B,B,47,8004,3,125.0,3,5,B
1379,5896,62,1.0,41.27411424374711,,10.0,3,8.0,1977,0.072157581,B,B,2,629,1,,0,0,A
